Operation Operand   Result
Contains   23261     482
Add        45038     483
Add        41882     484
Add        39865     485
Add        35759     486
Add        24889     487
Add        3753      488
Contains   24437     489
Add        27302     490
Remove     24096     491
Add        47154     492
Add        41507     493
Contains   35799     494
Add        12988     495
Contains   29798     496
Contains   16131     497
Contains   957       498
Add        38007     499
Remove     49045     500
Remove     42989     501
Add        45918     502
Add        7282      503
Add        10507     504
Add        45011     505
Add        31623     506
Add        42005     507
Add        8697      508
Contains   57        508
Contains   32791     509
Add        40856     510
Add        43251     511
Add        19068     512
Add        2470      513
Add        28531     514
Add        21654     515
Add        10609     516
Add        19107     517
Contains   297       518
Add        38008     519
Add        18057     520
Contains   3201      521
Add        30862     522
Contains   297       523
Add        20636     524
Add        15258     525
Add        33508     526
Add        23160     527
Add        39122     528
Contains   30103     528
Contains   45318     529
Add        35240     530
Add        32321     531
Add        37177     532
Add        21974     533
Contains   253       533
Add        32244     534
Contains   224       534
Contains   444       534
Add        18358     535
Add        8229      536
Add        37710     537
Add        48822     538
Add        40639     539
Contains   23576     540
Add        37239     541
Add        17151     542
Add        33237     543
Add        31239     544
Contains   30605     545
Add        42911     546
Contains   22575     547
Add        20626     548
Add        5662      549
Contains   379       549
Remove     4859      550
Add        12647     551
Add        48334     552
Add        25598     553
Add        43664     554
Add        35259     555
Contains   13651     556
Add        40331     557
Remove     22151     558
Contains   85        558
Add        47836     559
Add        42382     560
Add        31228     561
Contains   309       561
Add        16486     562
Add        27761     563
Add        23891     564
Add        45542     564
Contains   61        564
Contains   39158     565
Add        18670     566
Contains   2984      567
Add        38675     568
Contains   45429     569
Add        20908     570
Add        9762      571
Add        29362     572
Contains   340       572
Add        41633     573
Remove     25824     574
Contains   363       574
Add        16753     575
Add        47875     576
Remove     11496     577
Add        39029     578
Add        5180      579
Add        24145     580
Add        32410     581
Add        35066     582
Contains   45302     583
Add        17685     584
Contains   22151     584
Add        23278     585
Add        39676     586
Add        30167     587
Add        29468     588
Contains   297       589
Add        41648     590
Add        11951     591
Add        16797     592
Contains   14623     593
Add        45088     594
Add        42397     595
Contains   13        595
Add        44615     596
Add        30660     597
Add        32030     598
Add        45709     599
Add        10090     600
Contains   117       600
Add        34629     601
Add        34964     602
Add        45072     603
Remove     45038     604
Add        48785     605
Add        42192     606
Add        34976     607
Add        24340     608
Add        23941     609
Add        11311     610
Add        3166      611
Contains   491       611
Add        8398      612
Add        26551     613
Remove     25470     614
Add        20513     615
Add        40737     616
Add        25778     617
Contains   29        617
Contains   366       617
Add        27483     618
Add        159       619
Add        29240     620
Add        10270     621
Add        8177      622
Contains   5751      623
Remove     7950      624
Add        8954      625
Add        3711      626
Add        28839     627
Add        26828     628
Add        15969     629
Contains   317       629
Add        9387      630
Add        9399      631
Add        4038      632
Add        15116     633
Add        16738     634
Add        12125     635
Add        13127     636
Contains   13651     637
Add        29502     638
Add        3448      639
Add        37335     640
Contains   182       640
Add        46932     641
Add        44743     642
Remove     42989     642
Add        22818     643
Add        42414     644
Contains   17967     645
Add        35498     646
Contains   29        646
Add        30160     647
Add        29191     648
Add        16326     649
Add        22968     650
Add        491       651
Add        20006     651
Add        9885      652
Add        46923     653
Add        16697     654
Add        40318     655
Add        29340     656
Add        19609     657
Add        23835     658
Contains   26828     659
Add        4166      660
Add        42854     661
Add        42334     662
Add        29122     663
Add        15444     664
Add        37431     665
Add        45519     666
Add        45034     667
Contains   308       667
Add        40683     668
Add        35774     669
Add        30511     670
Remove     1227      671
Contains   511       671
Add        31154     672
Add        9501      673
Add        46829     674
Add        30337     675
Remove     16797     676
Add        34042     677
Add        12329     678
Add        2744      679
Contains   45318     680
Add        6035      681
Add        47085     682
Add        23049     683
Add        5995      684
Add        39964     685
Add        44516     686
Remove     24685     686
Add        38604     687
Add        44175     688
Add        6455      689
Contains   44226     690
Add        42718     691
Add        43122     692
Add        34701     693
Contains   11        693
Remove     14911     694
Add        25927     695
Add        9946      696
Add        28745     697
Add        16055     698
Add        42154     699
Add        39816     700
Add        25962     701
Add        3628      702
Add        49003     703
Add        18753     704
Add        13800     705
Contains   513       705
Add        1857      706
Contains   364       706
Contains   586       706
Contains   45542     707
Add        41056     708
Add        12326     709
Add        29662     710
Add        20299     711
Add        13016     712
Add        49678     713
Add        16471     714
Add        39370     715
Add        4906      716
Contains   24685     716
Add        45161     717
Contains   343       717
Add        49145     718
Add        45152     719
Contains   39701     720
Add        27235     721
Add        1567      722
Add        7178      723
Add        8191      724
Contains   251       724
Remove     34315     725
Add        9103      726
Add        24161     727
Add        49667     728
Add        43212     729
Add        19106     730
Add        37057     731
Add        652       732
Add        44008     733
Add        14400     734
Contains   25179     735
Add        284       736
Contains   504       736
Add        11179     737
Add        380       738
Add        10890     739
Add        5968      740
Add        31021     741
Contains   463       741
Add        41842     742
Add        43919     743
Contains   23538     744
Add        6601      745
Add        5652      746
Add        25484     747
Add        1554      748
Add        41968     749
Add        19067     750
Contains   645       750
Add        39855     751
Contains   252       751
Add        4389      752
Add        32999     753
Remove     15969     754
Add        34047     755
Add        43653     756
Add        39656     757
Add        38993     758
Add        34024     759
Add        40440     760
Add        41740     761
Add        47517     762
Add        28268     763
Contains   337       763
Add        38458     764
Add        27004     765
Add        28006     766
Remove     46283     767
Add        46251     768
Add        9229      769
Contains   311       769
Add        6871      770
Contains   285       770
Contains   155       770
Add        9080      771
Add        48807     772
Contains   19394     773
Add        21495     774
Add        36466     775
Add        40764     776
Contains   474       776
Add        19301     777
Contains   369       778
Add        8506      779
Add        20834     780
Add        25311     781
Add        35701     782
Add        40147     783
Add        26920     784
Add        5491      785
Add        17263     786
Add        41549     787
Add        13036     788
Add        10657     789
Add        49713     790
Contains   23725     791
Contains   101       791
Add        41074     792
Contains   44516     793
Add        7956      794
Contains   387       794
Add        36690     795
Add        2668      796
Add        22389     797
Add        46528     798
Add        32129     799
Contains   33833     800
Contains   21495     801
Add        13955     802
Contains   18373     803
Add        12981     804
Add        28921     805
Add        2533      806
Contains   122       806
Contains   20563     807
Add        22226     808
Add        36534     809
Add        5016      810
Add        10114     811
Add        45992     812
Contains   35066     813
Contains   42911     814
Add        14667     815
Add        47316     816
Add        13175     817
Add        17946     818
Contains   28006     819
Contains   19394     820
Contains   11311     821
Add        20956     822
Add        27030     823
Contains   615       823
Add        49019     824
Add        23628     825
Add        27373     826
Add        19949     827
Add        28040     828
Add        32305     829
Contains   40147     830
Add        12458     831
Contains   5         831
Add        43080     832
Remove     5652      833
Add        43115     834
Add        29760     835
Add        26902     836
Add        1212      837
Contains   39855     838
Add        47537     839
Add        9238      840
Add        40938     841
Add        18588     842
Add        31592     843
Contains   28321     844
Add        32491     845
Add        17676     846
Add        48796     847
Add        33213     848
Add        26718     849
Add        23886     850
Add        7323      851
Add        8284      852
Contains   529       852
Add        23193     853
Contains   675       853
Add        38340     854
Add        1252      855
Add        20162     856
Add        9340      857
Add        42126     858
Add        25631     859
Contains   43664     860
Add        35825     861
Contains   458       861
Add        25506     862
Add        23944     863
Remove     8506      864
Add        39528     865
Add        39547     866
Add        43698     867
Add        38207     868
Add        48088     869
Add        8961      870
Add        34937     871
Remove     17316     872
Remove     45426     873
Add        49921     874
Contains   621       874
Add        38170     875
Add        14204     876
Add        32203     877
Add        2896      878
Add        9179      879
Add        36240     880
Add        6124      881
Contains   12350     882
Add        19143     883
Add        39185     884
Add        25459     885
Add        25976     886
Add        14917     887
Add        44904     888
Add        19645     889
Contains   7950      889
Contains   108       889
Add        17765     890
Add        16319     891
Add        7950      892
Add        46285     893
Add        19468     894
Contains   113       894
Remove     45542     895
Contains   703       895
Add        39872     896
Add        35347     897
Add        43312     898
Contains   43212     899
Add        12848     900
Add        21597     901
Remove     29198     902
Add        11202     903
Add        47093     904
Add        22353     905
Add        42923     906
Add        39443     907
Contains   117       907
Add        34279     908
Remove     41648     909
Add        43357     910
Add        39211     911
Add        23511     912
Add        34805     913
Add        23525     914
Contains   38007     915
Add        31671     916
Remove     38616     917
Add        20936     918
Remove     4389      919
Contains   97        919
Add        44797     920
Contains   15258     921
Add        42867     922
Contains   27581     923
Contains   735       923
Add        30358     924
Contains   746       924
Add        34861     925
Add        38704     926
Contains   19107     927
Contains   37037     928
Add        17574     929
Add        35846     930
Contains   26873     931
Add        33416     932
Contains   319       932
Add        13503     933
Add        11879     934
Add        47182     935
Add        42366     936
Add        42160     937
Contains   424       937
Add        44171     938
Add        13305     939
Add        8953      940
Contains   40856     941
Add        20636     941
Add        47124     942
Contains   65        942
Add        4233      943
Contains   42363     944
Add        18340     945
Add        13962     946
Add        11994     947
Add        4333      948
Contains   759       948
Add        22562     949
Add        32242     950
Add        46719     951
Contains   9481      952
Add        30023     953
Add        34177     954
Contains   41968     955
Add        4103      956
Add        11271     957
Add        17781     958
Add        29783     959
Contains   789       959
Contains   42141     960
Contains   483       960
Add        15130     961
Add        42899     962
Add        37925     963
Contains   90        963
Add        11296     964
Add        29781     965
Add        39277     966
Add        27707     967
Add        12966     968
Remove     39624     969
Contains   9922      970
Add        44227     971
Add        25648     972
Add        1336      973
Add        44488     974
Add        1731      974
Add        48502     975
Add        17186     976
Add        26939     977
Add        12121     978
Add        4598      979
Contains   548       980
Contains   391       980
Add        11793     981
Contains   13305     982
Add        3094      983
Contains   291       983
Contains   7         983
Add        14768     984
Add        8169      985
Add        1261      986
Add        9316      987
Add        14616     988
Add        442       989
Add        1064      990
Add        36392     991
Remove     26595     992
Add        23255     992
Add        36540     993
Add        9143      994
Add        26619     995
Add        42857     996
Add        46491     997
Add        11707     998
Add        32897     999
Add        18500     1000
Add        45404     1001
Add        12884     1002
Add        18854     1003
Add        47857     1004
Add        18950     1005
Add        47304     1006
Add        6189      1007
Add        5882      1008
Add        7591      1009
Add        18231     1010
Contains   22818     1011
Contains   679       1011
Add        6548      1012
Add        45500     1013
Contains   12823     1014
Add        16913     1015
Contains   91        1015
Add        403       1016
Add        26265     1017
Contains   123       1017
Add        1573      1018
Add        47344     1019
Contains   881       1019
Add        15898     1020
Add        27132     1021
Add        15070     1022
Remove     23538     1023
Add        47679     1024
Contains   28040     1025
Add        22144     1026
Contains   40783     1027
Remove     9885      1028
Add        41256     1029
Add        22128     1030
Add        6388      1031
Add        48460     1032
Contains   585       1032
Add        47114     1033
Add        32043     1034
Add        23900     1035
Add        40524     1036
Add        19314     1037
Remove     28268     1038
Add        32357     1039
Add        13579     1040
Add        44239     1041
Add        38029     1042
Add        79        1043
Add        9740      1044
Add        42028     1045
Add        8244      1046
Add        33163     1047
Contains   39405     1048
Add        7684      1049
Add        45315     1050
Contains   48719     1051
Contains   19645     1052
Add        48576     1053
Add        22571     1054
Add        45399     1055
Add        17668     1056
Remove     5236      1057
Add        15731     1058
Add        35937     1059
Remove     23193     1060
Add        14449     1061
Add        12017     1062
Add        15227     1063
Contains   48719     1064
Add        1951      1065
Add        22204     1066
Remove     6201      1067
Add        39162     1068
Add        16658     1069
Add        7867      1070
Contains   22        1070
Add        4233      1070
Add        20369     1071
Contains   498       1071
Add        40875     1072
Add        11246     1073
Contains   918       1073
Contains   691       1073
Add        4316      1074
Contains   39342     1075
Add        29061     1076
Add        34985     1077
Contains   19068     1078
Add        21776     1079
Contains   32129     1080
Add        39758     1081
Add        14        1082
Add        39838     1083
Contains   23538     1083
Add        48108     1084
Add        10830     1085
Add        25267     1086
Add        46022     1087
Add        21545     1088
Add        49194     1089
Contains   561       1089
Add        10457     1090
Contains   25927     1091
Add        34799     1092
Add        43375     1093
Add        47367     1094
Add        17737     1095
Contains   747       1095
Add        14278     1096
Add        1580      1097
Add        17153     1098
Add        39234     1099
Add        47514     1100
Add        49153     1101
Contains   5882      1102
Add        30932     1103
Add        35958     1104
Contains   670       1104
Contains   15753     1105
Add        44721     1106
Add        1996      1107
Contains   790       1107
Add        13689     1108
Add        8364      1109
Add        32402     1110
Add        49787     1111
Add        27109     1112
Add        38229     1113
Add        22589     1114
Add        25343     1115
Add        17315     1116
Add        29450     1117
Add        18677     1118
Add        1677      1119
Add        21174     1120
Add        11964     1121
Add        30930     1122
Add        20160     1123
Contains   29760     1124
Add        1095      1125
Add        22014     1126
Contains   647       1126
Add        6960      1127
Add        19238     1128
Add        37871     1129
Add        31469     1130
Add        4216      1131
Add        14188     1132
Add        28888     1133
Add        9074      1134
Add        2901      1135
Add        31055     1136
Add        31697     1137
Add        27003     1138
Add        36776     1139
Add        27190     1140
Add        21498     1141
Add        26589     1142
Add        48070     1143
Add        24613     1144
Contains   530       1144
Remove     16169     1145
Add        43647     1146
Contains   679       1146
Add        43174     1147
Contains   18670     1148
Add        17617     1149
Add        18608     1150
Add        46812     1151
Contains   687       1151
Add        23340     1152
Add        15420     1153
Remove     32312     1154
Add        26556     1155
Contains   14449     1156
Add        4226      1157
Add        48221     1158
Add        6595      1159
Add        3370      1160
Add        43141     1161
Add        4668      1162
Add        29126     1163
Add        23420     1164
Add        43814     1165
Add        32520     1166
Add        41589     1167
Contains   995       1167
Add        48126     1168
Add        28749     1169
Add        22952     1170
Contains   552       1170
Add        25262     1171
Add        33241     1172
Add        24147     1173
Add        8847      1174
Add        48276     1175
Add        29202     1176
Add        23476     1176
Add        29853     1177
Remove     6124      1178
Contains   756       1178
Contains   5652      1178
Add        40593     1179
Add        35617     1180
Add        6266      1181
Add        41185     1182
Add        44350     1183
Contains   18231     1184
Add        30604     1185
Add        40907     1186
Contains   15447     1187
Contains   447       1187
Add        16431     1188
Add        5114      1189
Add        18995     1190
Add        24923     1191
Add        10968     1192
Add        43099     1193
Contains   881       1193
Add        30750     1194
Add        31180     1195
Contains   505       1195
Add        9843      1196
Add        5583      1197
Add        26950     1198
Add        45740     1199
Add        32995     1200
Remove     1677      1201
Add        30304     1202
Add        16551     1203
Contains   8244      1204
Contains   179       1204
Add        3845      1205
Add        5591      1206
Add        14403     1207
Add        18764     1208
Contains   34701     1209
Add        1121      1210
Add        24318     1211
Add        6990      1212
Add        27179     1213
Add        41422     1214
Add        12428     1215
Add        40794     1216
Contains   1029      1216
Add        49371     1217
Contains   1006      1217
Add        33109     1218
Add        32927     1219
Add        19029     1220
Contains   30160     1221
Add        12538     1222
Add        16685     1223
Add        48359     1224
Add        43609     1225
Add        27818     1226
Add        635       1227
Add        38009     1228
Add        18777     1229
Contains   1011      1229
Add        44543     1230
Add        16722     1231
Add        46651     1232
Contains   45072     1233
Contains   280       1233
Add        7494      1234
Contains   1067      1234
Add        22023     1235
Add        35973     1236
Add        11963     1237
Add        18712     1238
Add        45168     1239
Add        45969     1240
Remove     3382      1241
Add        9667      1242
Add        39987     1243
Add        3201      1243
Add        47015     1244
Contains   43174     1245
Add        39112     1246
Add        49843     1247
Add        3892      1248
Add        36350     1249
Add        46008     1250
Add        24486     1251
Add        49246     1252
Remove     25295     1253
Add        5763      1254
Remove     40767     1255
Add        41173     1256
Add        28609     1257
Add        8437      1258
Contains   718       1258
Contains   29293     1259
Add        20287     1260
Contains   137       1260
Contains   711       1260
Contains   161       1260
Add        17936     1261
Add        3919      1262
Add        44294     1263
Add        33372     1264
Add        7251      1265
Add        17320     1266
Add        28174     1267
Add        19134     1268
Add        2556      1269
Add        30129     1270
Add        20168     1271
Add        48349     1272
Add        45185     1273
Add        46292     1274
Add        45026     1275
Add        49337     1276
Add        11814     1277
Add        294       1277
Add        17742     1278
Add        6778      1279
Contains   847       1279
Add        27625     1280
Add        14913     1281
Contains   18860     1282
Add        41124     1283
Add        25639     1284
Contains   849       1284
Add        25651     1285
Add        46814     1286
Add        4673      1287
Add        20919     1288
Remove     5648      1289
Add        35803     1290
Contains   28839     1291
Add        43710     1292
Add        44678     1293
Add        13004     1294
Contains   297       1295
Add        33950     1296
Add        29805     1297
Add        24791     1298
Add        25382     1299
Remove     23019     1300
Contains   14616     1301
Contains   31154     1302
Add        24728     1303
Add        38669     1304
Add        36704     1305
Add        6919      1306
Add        28997     1307
Contains   36466     1308
Contains   30862     1309
Contains   49003     1310
Contains   769       1310
Add        29442     1311
Add        13042     1312
Add        24986     1313
Add        7438      1314
Add        19453     1315
Add        20177     1316
Contains   13104     1317
Contains   23891     1318
Contains   452       1318
Add        22200     1319
Add        21934     1320
Add        40547     1321
Add        47409     1322
Add        20141     1323
Remove     47517     1324
Add        49409     1325
Add        16548     1326
Add        13943     1327
Add        3944      1328
Add        33589     1329
Add        8045      1330
Add        49310     1331
Add        32907     1332
Contains   20563     1333
Add        10911     1334
Contains   573       1334
Add        25371     1335
Add        35781     1336
Add        15660     1337
Add        46655     1338
Add        15318     1339
Contains   369       1340
Add        30444     1341
Add        38574     1342
Add        41782     1343
Add        23212     1344
Contains   1047      1344
Add        49813     1345
Add        9692      1346
Add        48533     1347
Remove     15553     1348
Add        11863     1348
Add        38391     1349
Add        24699     1350
Add        10259     1351
Add        14989     1352
Add        49909     1353
Contains   345       1353
Contains   446       1353
Remove     3950      1354
Add        39798     1355
Add        36674     1356
Add        31242     1357
Remove     23941     1358
Add        46790     1359
Contains   1052      1359
Add        24360     1360
Add        14897     1361
Contains   41549     1362
Add        25941     1363
Add        7958      1364
Add        37933     1365
Add        29056     1366
Contains   886       1366
Contains   27995     1367
Add        26957     1368
Add        43038     1369
Add        17563     1370
Add        5988      1371
Add        4814      1372
Add        31547     1373
Contains   39676     1374
Add        25351     1375
Remove     2470      1376
Remove     40875     1377
Add        38770     1378
Add        41308     1379
Add        14825     1380
Add        17973     1381
Contains   1079      1381
Add        3339      1382
Contains   1002      1382
Add        49570     1383
Add        36535     1384
Add        27577     1385
Remove     32907     1386
Add        5891      1387
Add        40026     1388
Contains   911       1388
Add        31205     1389
Add        9047      1390
Add        40073     1391
Add        47509     1392
Add        3432      1393
Add        46965     1394
Remove     40440     1395
Contains   605       1395
Add        6435      1396
Add        33068     1397
Add        28883     1398
Add        29795     1399
Remove     12600     1399
Add        19931     1400
Contains   1083      1400
Contains   46921     1401
Contains   11964     1402
Remove     43174     1403
Add        20232     1404
Contains   877       1404
Add        24302     1405
Remove     27132     1406
Add        27104     1407
Contains   115       1407
Add        33047     1408
Add        918       1409
Add        6527      1410
Add        17802     1411
Add        37273     1412
Add        36282     1413
Add        40866     1414
Add        22014     1414
Add        14209     1415
Add        49329     1416
Add        17481     1417
Add        22044     1418
Add        33087     1419
Add        13349     1420
Add        17929     1421
Add        19539     1422
Contains   1211      1422
Add        46925     1423
Add        9803      1424
Remove     32873     1425
Contains   965       1425
Contains   12538     1426
Add        20141     1426
Add        6699      1427
Contains   19246     1428
Add        8971      1429
Add        26914     1430
Add        19905     1431
Add        19016     1432
Add        26469     1433
Add        38548     1434
Contains   773       1434
Add        41344     1435
Remove     49217     1436
Add        17815     1437
Contains   1043      1437
Add        28386     1438
Add        23100     1439
Contains   20844     1440
Add        39637     1441
Contains   71        1441
Add        37634     1442
Add        41323     1443
Add        42577     1444
Add        37132     1445
Contains   49767     1446
Add        824       1447
Add        14862     1448
Add        41038     1449
Contains   43400     1449
Add        42628     1450
Add        13965     1451
Add        4108      1452
Contains   734       1452
Contains   108       1452
Add        18938     1453
Add        40660     1454
Add        18961     1455
Contains   1085      1455
Add        32274     1456
Add        17205     1457
Add        4325      1458
Add        5183      1459
Add        33813     1460
Add        25934     1461
Add        5123      1462
Add        6190      1463
Add        48536     1464
Add        14014     1465
Add        6055      1466
Add        46539     1467
Contains   43400     1467
Contains   573       1467
Add        15155     1468
Add        39521     1469
Add        15742     1470
Add        10187     1471
Remove     30932     1472
Add        12945     1473
Add        23317     1474
Add        33606     1475
Contains   24437     1476
