Operation Operand   Result
Contains   118       444
Add        694       445
Contains   509       446
Remove     252       447
Add        237       448
Add        161       448
Add        98        449
Add        671       450
Add        504       451
Add        715       452
Add        676       453
Add        820       453
Add        250       454
Add        923       455
Remove     524       456
Add        683       457
Remove     68        458
Contains   702       459
Add        386       460
Add        560       461
Contains   115       461
Add        872       461
Add        628       461
Add        622       462
Add        517       463
Add        445       464
Add        956       465
Add        315       465
Add        253       465
Add        496       465
Add        889       465
Remove     241       466
Add        862       467
Add        812       467
Add        461       468
Add        565       469
Remove     562       470
Add        518       471
Add        884       472
Add        716       473
Add        730       474
Contains   880       475
Add        952       475
Remove     839       476
Remove     32        477
Add        449       477
Contains   307       478
Add        419       479
Remove     562       479
Add        467       480
Add        324       481
Add        525       482
Add        360       483
Add        76        484
Remove     118       485
Contains   675       486
Add        279       486
Contains   450       486
Add        80        487
Add        568       488
Contains   376       488
Add        922       489
Add        242       490
Add        620       491
Contains   89        492
Add        128       493
Add        813       493
Add        453       494
Contains   562       494
Add        753       495
Remove     924       496
Add        9         497
Contains   399       498
Add        692       499
Add        187       499
Add        470       499
Contains   701       500
Add        494       501
Remove     130       502
Add        971       503
Add        993       504
Add        842       505
Add        367       506
Add        4         506
Add        352       507
Add        442       508
Add        95        509
Add        391       509
Contains   232       510
Add        540       511
Add        373       512
Contains   377       513
Contains   5         514
Add        758       514
Contains   269       514
Add        613       514
Add        127       515
Add        586       516
Add        680       517
Add        375       518
Add        69        519
Contains   107       519
Add        374       520
Add        809       521
Remove     790       522
Contains   820       523
Add        7         523
Add        366       524
Add        439       525
Add        970       526
Add        175       526
Add        427       527
Add        70        528
Add        376       529
Add        865       530
Add        243       531
Add        733       532
Contains   143       532
Add        212       532
Contains   84        533
Contains   15        534
Remove     229       535
Add        353       535
Add        176       536
Add        572       537
Add        571       538
Add        540       538
Add        529       539
Add        635       540
Add        189       541
Add        370       542
Add        567       542
Remove     547       542
Add        125       542
Add        369       543
Add        323       543
Add        487       544
Add        766       545
Add        334       546
Add        737       546
Add        111       547
Contains   147       548
Add        132       548
Contains   113       548
Contains   130       548
Add        156       549
Add        180       549
Add        360       549
Add        547       550
Add        658       550
Contains   153       551
Contains   509       552
Add        663       553
Add        85        554
Add        754       555
Add        140       556
Add        49        556
Add        621       557
Add        757       558
Add        766       558
Add        729       559
Add        710       560
Add        101       560
Add        937       561
Contains   507       562
Contains   9         563
Add        576       563
Add        897       564
Add        96        564
Add        197       564
Add        54        565
Add        670       565
Contains   568       566
Add        419       566
Add        736       566
Add        576       566
Add        258       566
Add        742       567
Contains   345       567
Add        53        567
Add        993       567
Add        997       568
Add        891       568
Add        2         569
Add        20        570
Add        770       571
Add        235       572
Add        378       573
Contains   187       574
Add        868       575
Add        222       576
Contains   78        577
Add        485       577
Contains   283       577
Add        392       577
Add        614       577
Add        371       578
Add        59        579
Add        144       580
Add        326       581
Contains   241       581
Contains   221       581
Add        288       582
Contains   85        583
Add        926       584
Add        271       584
Add        483       585
Add        529       585
Add        633       586
Add        6         587
Add        294       588
Add        685       589
Add        120       590
Add        455       591
Add        985       591
Add        378       591
Contains   732       592
Add        674       592
Contains   118       592
Add        683       592
Add        30        592
Add        559       592
Add        210       592
Add        400       592
Add        799       593
Contains   213       594
Add        92        595
Add        273       596
Add        339       597
Add        232       597
Add        921       598
Add        974       599
Add        83        600
Contains   436       601
Remove     322       602
Add        533       603
Add        965       604
Add        661       605
Contains   159       605
Add        244       606
Contains   172       606
Add        572       606
Add        579       606
Contains   137       606
Add        212       606
Remove     403       607
Contains   173       608
Add        43        609
Add        755       609
Add        284       610
Add        654       610
Remove     872       611
Remove     785       612
Add        948       612
Contains   387       613
Add        19        613
Add        204       614
Add        548       614
Add        497       615
Add        634       616
Contains   150       617
Remove     19        618
Add        672       619
Add        825       619
Add        207       620
Add        763       620
Contains   19        620
Add        366       620
Add        43        620
Contains   137       620
Add        789       620
Add        602       621
Add        620       621
Add        145       622
Add        87        623
Add        131       624
Add        547       624
Add        271       624
Contains   163       625
Add        511       626
Add        717       626
Add        176       626
Add        716       626
Add        274       627
Add        197       627
Add        90        627
Remove     947       628
Contains   67        628
Contains   109       628
Contains   776       629
Remove     380       630
Add        231       631
Add        169       631
Add        168       632
Contains   295       633
Contains   993       634
Add        857       634
Add        515       634
Add        961       635
Add        908       636
Add        45        636
Add        296       636
Remove     148       637
Add        945       638
Add        679       639
Add        852       640
Add        179       640
Add        894       640
Add        682       641
Add        623       641
Add        781       642
Contains   15        643
Add        117       644
Add        125       644
Add        86        645
Add        489       646
Add        622       646
Remove     222       647
Contains   322       647
Add        212       647
Add        218       648
Remove     266       649
Add        449       649
Add        603       649
Add        282       649
Add        507       649
Add        927       650
Add        758       650
Add        899       650
Contains   559       651
Add        143       652
Contains   208       653
Remove     49        654
Add        431       655
Add        133       655
Add        485       655
Add        246       656
Add        637       657
Add        425       658
Add        451       659
Add        828       660
Add        987       660
Contains   629       661
Contains   453       662
Contains   401       663
Add        876       663
Add        64        664
Add        278       665
Add        146       666
Contains   445       667
Add        852       667
Add        639       668
Add        322       669
Remove     567       670
Add        563       670
Add        231       670
Add        906       671
Add        815       672
Contains   383       672
Add        391       672
Add        709       673
Contains   909       674
Add        429       674
Add        767       675
Add        548       675
Contains   169       676
Add        393       677
Contains   279       678
Add        880       678
Contains   141       678
Contains   172       678
Add        970       678
Add        647       679
Add        710       679
Add        731       679
Add        585       679
Contains   419       680
Add        149       681
Add        818       682
Add        426       682
Add        213       682
Add        264       683
Contains   643       683
Contains   555       684
Add        609       684
Add        633       684
Contains   354       685
Add        495       685
Add        94        686
Add        275       687
Add        899       687
Add        187       687
Add        496       687
Add        783       688
Add        916       689
Add        888       690
Add        753       690
Contains   87        691
Add        17        691
Add        942       692
Contains   541       693
Add        763       693
Add        330       694
Contains   589       695
Add        155       696
Add        809       696
Add        774       696
Add        882       697
Add        863       698
Add        776       698
Add        709       698
Add        724       699
Add        104       700
Add        181       701
Add        74        702
Contains   901       703
Contains   15        704
Contains   315       705
Add        203       705
Add        53        705
Add        238       706
Add        717       706
Contains   984       707
Add        529       707
Add        759       708
Contains   465       709
Add        971       709
Add        453       709
Contains   90        710
Remove     253       711
Add        396       711
Contains   577       711
Add        568       711
Add        151       712
Contains   273       713
Add        634       713
Add        879       714
Contains   383       714
Contains   7         715
Remove     373       716
Contains   857       717
Add        796       717
Add        516       717
Add        372       718
Add        401       718
Contains   445       719
Add        984       719
Add        42        720
Add        854       721
HashSet result: 721
HashSet size: 499
Time: 59 msec.
Memory: 5 MB / 117 MB.
